time,Group name,username,rôle,action,message,termUser,msgRecipient,command,args,response du terminal,score,encodage aide,embedding,start,end,linkto
16:06:10,KEFA,alexandre,Fournisseur,command,,,,ls,/opt/callab4ce,ls: impossible d'accéder à /opt/callab4ce: Aucun fichier ou dossier de ce type,0,,,,,
16:06:17,KEFA,alexandre,Fournisseur,command,,,,ls,/opt/collab4ce,ficClient  ficProduits,1,,,,,
16:06:47,KEFA,adrien,Client,command,,,,nano,client.sh,,1,,,,,
16:06:53,KEFA,adrien,Client,command,,,,ls,-l,"total 8
drwxr-xr-x 7 client client 4096 déc.  14 15:38 Archi1
-rwx------ 1 client client    9 déc.  14 16:06 client.sh",1,,,,,
16:07:01,KEFA,adrien,Client,command,,,,ls,client.sh,client.sh,1,,,,,
16:07:07,KEFA,adrien,Client,command,,,,ls,client.s,ls: impossible d'accéder à client.s: Aucun fichier ou dossier de ce type,0,,,,,
16:08:02,KEFA,alphonse,Gestionnaire,terminal,,adrien,,,,,,,,,,
16:08:06,KEFA,alphonse,Gestionnaire,terminal,,alexandre,,,,,,,,,,
16:08:16,KEFA,alphonse,Gestionnaire,terminal,,adrien,,,,,,,,,,
16:08:19,KEFA,alphonse,Gestionnaire,terminal,,alphonse,,,,,,,,,,
16:10:22,KEFA,alexandre,Fournisseur,command,,,,nano,fournisseur.sh,,1,,,,,
16:10:40,KEFA,alexandre,Fournisseur,command,,,,sh,fournisseur.sh,,1,,,,,
16:10:58,KEFA,alexandre,Fournisseur,command,,,,nano,fournisseur.sh,,1,,,,,
16:10:59,KEFA,alexandre,Fournisseur,command,,,,sh,fournisseur.sh,yo,1,,,,,
16:11:23,KEFA,alexandre,Fournisseur,command,,,,nano,fournisseur.sh,,1,,,,,
16:11:27,KEFA,alexandre,Fournisseur,command,,,,sh,fournisseur.sh,yo,1,,,,,
16:12:05,KEFA,alexandre,Fournisseur,command,,,,nano,fournisseur.sh,,1,,,,,
16:12:07,KEFA,alexandre,Fournisseur,command,,,,sh,fournisseur.sh,"ficProduits
yo",1,,,,,
16:12:19,KEFA,alexandre,Fournisseur,terminal,,alphonse,,,,,,,,,,
16:12:23,KEFA,alexandre,Fournisseur,terminal,,adrien,,,,,,,,,,
16:12:25,KEFA,alexandre,Fournisseur,terminal,,alphonse,,,,,,,,,,
16:12:28,KEFA,alexandre,Fournisseur,terminal,,adrien,,,,,,,,,,
16:12:31,KEFA,alphonse,Gestionnaire,terminal,,adrien,,,,,,,,,,
16:12:34,KEFA,alphonse,Gestionnaire,terminal,,alexandre,,,,,,,,,,
16:12:39,KEFA,alphonse,Gestionnaire,terminal,,adrien,,,,,,,,,,
16:12:40,KEFA,alphonse,Gestionnaire,terminal,,alphonse,,,,,,,,,,
16:12:40,KEFA,alphonse,Gestionnaire,terminal,,alphonse,,,,,,,,,,
16:13:16,KEFA,alexandre,Fournisseur,message,adrien il fonctionne comment ton if ls client.sh (j'avoue que j'ai pas suivi l'amphi),,trinome,,,,,Demande d'aide,​id3_start,​id3_start,,
16:13:43,KEFA,adrien,Client,message,heu bah ca verifie si il existe je crois,,trinome,,,,,Aide proposée,​id3_end,,​id3_end,
16:13:43,KEFA,alexandre,Fournisseur,terminal,,alexandre,,,,,,,,,,
16:13:46,KEFA,alexandre,Fournisseur,terminal,,alphonse,,,,,,,,,,
16:14:18,KEFA,alexandre,Fournisseur,terminal,,alexandre,,,,,,,,,,
16:14:53,KEFA,alexandre,Fournisseur,terminal,,adrien,,,,,,,,,,
16:14:56,KEFA,alexandre,Fournisseur,terminal,,alexandre,,,,,,,,,,
16:15:18,KEFA,alexandre,Fournisseur,command,,,,nano,fournisseur.sh,,1,,,,,
16:15:20,KEFA,alexandre,Fournisseur,command,,,,sh,fournisseur.sh,"fournisseur.sh: 2: fournisseur.sh: Syntax error: ""do"" unexpected (expecting ""then"")",0,,,,,
16:15:30,KEFA,alexandre,Fournisseur,command,,,,sh,fournisseur.sh,"fournisseur.sh: 2: fournisseur.sh: Syntax error: ""do"" unexpected (expecting ""then"")",0,,,,,
16:15:53,KEFA,alphonse,Gestionnaire,command,,,,nano,gestionnaire.sh,,1,,,,,
16:16:05,KEFA,alphonse,Gestionnaire,command,,,,read,/opt/collab4ce/ficClient,-bash: read: « /opt/collab4ce/ficClient » : identifiant non valable,0,,,,,
16:16:08,KEFA,alexandre,Fournisseur,command,,,,nano,fournisseur.sh,,1,,,,,
16:16:14,KEFA,alexandre,Fournisseur,command,,,,nano,fournisseur.sh,,1,,,,,
16:16:16,KEFA,alexandre,Fournisseur,command,,,,sh,fournisseur.sh,"fournisseur.sh: 2: fournisseur.sh: Syntax error: ""do"" unexpected",0,,,,,
16:16:36,KEFA,alexandre,Fournisseur,command,,,,nano,fournisseur.sh,,1,,,,,
16:16:39,KEFA,alexandre,Fournisseur,command,,,,sh,fournisseur.sh,"/opt/collab4ce/ficProduits
yo",1,,,,,
16:17:17,KEFA,alexandre,Fournisseur,command,,,,nano,fournisseur.sh,,1,,,,,
16:17:20,KEFA,alexandre,Fournisseur,command,,,,sh,fournisseur.sh,ls: impossible d'accéder à /opt/collab4ce/ficProdu: Aucun fichier ou dossier de ce type,1,,,,,
16:17:22,KEFA,adrien,Client,message,noubliez pas le #!/bin/bash au debut de votre script,,trinome,,,,,Aide proposée,​id4_start,​id4_start,,
16:17:36,KEFA,adrien,Client,terminal,,alphonse,,,,,,,,,,
16:17:40,KEFA,adrien,Client,terminal,,alexandre,,,,,,,,,,
16:17:46,KEFA,alexandre,Fournisseur,message,ça fait quoi X) ?,,trinome,,,,,Demande d'aide,,,,
16:18:08,KEFA,adrien,Client,message,"normalemn,t cest pour quil comprenne que c'est un script^^",,trinome,,,,,Aide proposée,​id4_end,,​id4_end,
16:18:10,KEFA,adrien,Client,terminal,,adrien,,,,,,,,,,
16:18:15,KEFA,adrien,Client,command,,,,nano,client.sh,,1,,,,,
16:18:23,KEFA,adrien,Client,command,,,,bash,client.sh,"client.sh: ligne 4: erreur de syntaxe près du symbole inattendu « do »
client.sh: ligne 4: `do'",0,,,,,
16:18:37,KEFA,alexandre,Fournisseur,command,,,,nano,fournisseur.sh,,1,,,,,
16:18:41,KEFA,alexandre,Fournisseur,command,,,,sh,fournisseur.sh,ls: impossible d'accéder à /opt/collab4ce/ficProdu: Aucun fichier ou dossier de ce type,1,,,,,
16:18:45,KEFA,alexandre,Fournisseur,command,,,,sh,fournisseur.sh,ls: impossible d'accéder à /opt/collab4ce/ficProdu: Aucun fichier ou dossier de ce type,1,,,,,
16:19:05,KEFA,alexandre,Fournisseur,command,,,,nano,fournisseur.sh,,1,,,,,
16:19:08,KEFA,alexandre,Fournisseur,command,,,,sh,fournisseur.sh,"ls: impossible d'accéder à /opt/collab4ce/ficProdu: Aucun fichier ou dossier de ce type
teo",1,,,,,
16:19:10,KEFA,alphonse,Gestionnaire,message,Javoue ne rien comprendre à ce qui est demandé ...,,trinome,,,,,Demande d'aide,id5_start,id5_start,,
16:19:21,KEFA,alexandre,Fournisseur,message,c'est quoi ta consigne ?,,trinome,,,,,Demande d'aide,,,,
16:19:41,KEFA,adrien,Client,message,tu peut la voir tas toutes les annexes,,trinome,,,,,Aide proposée,,,,
16:19:51,KEFA,adrien,Client,message,normalemnt^,,trinome,,,,,Aide proposée,,,,
16:20:01,KEFA,adrien,Client,message,moi je peut voir les votre,,trinome,,,,,Aide proposée,,,,
16:20:12,KEFA,alphonse,Gestionnaire,message,Ca commence au milieu de la page,,trinome,,,,,Aide proposée,,,,
16:20:15,KEFA,adrien,Client,command,,,,nano,client.sh,,1,,,,,
